Sr. No,Name,Description,Mood,Tags,Ingredient,Recipe,Concentrate,IMG
11,Cold Brew,"Black, smooth and clean - 100 % arabica - naturally sweet & low in acidity","Smooth, Refreshing
& Charged-up","#BlackCoffee
#ColdBrewClassic
#Classic","90 ml classic concentrate
135 ml cold water 
ice cubes ","1. Fill glass with ice cubes
2. Pour cold water
3. Slowly add classic cold brew 
4. Stir lightly for balanced flavor serve 
chilled ",Classic Concentrate ,
12,Orange Cold Brew ,"Bright and refreshing with zesty citrus and honey sweetness
","Refreshing, Citrusy 
& uplifting","#CitrusCoffee
#Orange
#Bold
#Classic","90 ml classic or bold concentrate 
30 ml orange juice
15 ml honey 
5 ml lemon juice  
90 ml soda 
ice cubes","1. Add some ice cubes to a glass or shaker 
2. Add orange juice, honey and lemon juice   
3. Top up with Chilld classic or bold concentrate
4. Stir or shake  
5. Pour chilled soda slowly 
","Classic Concentrate 
Bold Concentrate",
13,Cranberry Cold Brew ,Fruity and refreshing cold brew with cranberry tanginess,"Refreshing, Fruity,
& perked-up","#Cranberry
#Refreshing
#Bold
#Classic","90 ml classic or bold concentrate 
30 ml cranberry juice
10 ml honey 
5 ml lemon juice  
90 ml soda 
ice cubes","1. Add some ice cubes to a glass or shaker 
2. Add cranberry juice, honey and lemon juice   
3. Top up with Chilld classic or bold concentrate
4. Stir or shake  
5. Pour chilled soda slowly 
",Classic Concentrate ,
21,Vietnamese cold brew ,A strong finish inspired by Vietnamese style coffee,"Filling, Strong &
Creamy ","#VietnameseCoffee
#CondensedMilk
#StrongCoffee
#Bold","120 ml bold concentrate 
40 ml condensed milk 
ice cubes ","1. Fill glass or shaker with a lot of ice cubes 
2. Add condensed milk 
3. Pour Chilld Bold concentrate on top
4. Close the shaker and shake vigourously. If making in a glass, then mix well with a stirer or hand blender 
5. Enjoy the creamy texture and a strong coffee flavour ",Bold concentrate ,
14,Cold Brew Tonic,Crisp and refreshing cold brew with a hint of tonic bitterness and a clean refreshing finish ,"Refreshing, Crisp
& quirky","#Tonic
#SummerCoffee
#Classic","90 ml classic concentrate
130 ml tonic water 
ice cubes 
lemon 
slice (optional)","1. Fill glass with ice cubes 
3. Slowly add Chilld classic concentrate
2. Pour chilled tonic water 
4. Garnish with lemon slice if needed 
5. Stir lightly and serve",Classic Concentrate ,
10,Kappi Cold Brew,Chicory strong coffee with the creamy richness of condensed and fresh milk,"Strong, Creamy 
& Sweet ","#SifCold 
#Kappi
#Chicory
#milk","135 ml Kappi concentrate 
30 ml condensed milk 
40 ml dairy milk 
ice cubes","1. Fill glass with ice cubes
2. Add condensed milk 
3. Pour regular dairy milk 
4. Add Chilld Kappi Concentrate 
5. Shake or stir well for creamy texture ",Kappi Concentrate ,
15,Mint Tonic Cold Brew,Cool and sparkling cold brew with refreshing mint tonic water,"Minty, Refreshing 
& creative ","#Mint
#Tonic
#SparklingCoffee
#MintCoffee
#Classic","90 ml classic concentrate 
130 ml mint tonic water 
ice cubes 
mint leaves ","1. Fill glass with ice cubes 
3. Slowly add Chilld classic concentrate
2. Pour mint tonic water 
4. Garnish with mint leaves, if available 
5. Stir lightly",Classic Concentrate ,
16,Cold Brew Latte,"Classic smooth ice latte balanced, light sweet - a creamy daily staple ","Smooth, Creamy 
& Refreshing ","#iceLatte
#ColdCoffee
#milk
#sugar
#Bold","75 ml bold concentrate 
150 ml dairy milk 
15 ml sugar syrup 
ice cubes","1. Fill glass with ice cubes
2. Add sugar syrup 
3. Pour milk 
4. Slowly add Chilld bold concentrate 
5. Stir, blend or shake for a smooth and frothy texture",Bold concentrate ,
43,Oat milk Cold Latte,A naturally sweet and velvety coffee finish ,"Smooth, Light &
Vegan ","#OatMilk
#CafeStyle
#Bold
#Vegan","60 ml bold concentate 
170 ml oat milk 
15 ml sugar syrup 
ice cubes ","1. Fill glass with ice cubes 
2. Add sugar syrup 
3. Pour cold oat milk
4. Add Chilld bold concentrate 
5. Stir lightly for a smooth texture and serve chilled ",Bold concentrate ,
44,Caramel Latte,"Deep caramel-like brown sugar sweetness, smooth milk, and a balanced coffee finish ","Rich, 
Caramelly ","#BrownSugar
#Caramel
#Sweet
#Bold","60 ml bold concentrate
170 ml dairy milk 
15 ml brown sugar 
ice cubes ","1. Fill glass with ice cubes 
2. Add brown sugar syrup 
3. Pour milk 
4. Add Chilld bold concentrate 
5. Stir lightly for a smooth texture ",Bold concentrate ,
